keyword, link
GP Register, https://www.imperial.ac.uk/students/accommodation/moving-into-halls/health-and-wellbeing/
Medical Access, https://www.imperial.ac.uk/student-support-zone/your-health/doctor-and-dentist/
Imperial Health Centre,https://www.imperialcollegehealthcentre.co.uk/
Health Centre New Patients, https://www.imperialcollegehealthcentre.co.uk/new-patients/
Health Centre Eligibility, https://www.imperialcollegehealthcentre.co.uk/new-patients/imperial-college/eligibility-students/
Health Centre Location, https://www.imperialcollegehealthcentre.co.uk/contact/
Health Centre Appointments, https://www.imperialcollegehealthcentre.co.uk/appointment/guidance/
Health Centre Prescriptions, https://www.imperialcollegehealthcentre.co.uk/services/repeat-prescriptions/
Emergency Care, https://www.imperial.nhs.uk/our-services/emergency-care
Emergency Contacts, https://www.imperial.ac.uk/occupational-health/emergency/
Private Health Insurance, https://www.imperial.ac.uk/human-resources/benefits/live-well-work-well/private-health-insurance/
Travel Health Advice, https://www.imperial.ac.uk/occupational-health/travel/
Immigration Health Surcharge,https://www.gov.uk/healthcare-immigration-applications
